school_name,2018-19 Overall Score
Carmen High School of Science and Technology South Campus,88.7
Carmen High School of Science and Technology Southeast Campus,64
Carmen Middle School of Science and Technology South Campus,NA
Carmen Middle/High School of Science and Technology Northwest Campus,68.9
Daniels University Preparatory Academy,52.1
HAPA-Hmong American Peace Academy K3-12,81.4
Highland Community School,68.4
La Causa Charter School,77
Milwaukee College Preparatory School -- 36th Street Campus,73.6
Milwaukee College Preparatory School -- 38th Street,83.5
Milwaukee College Preparatory School -- Lloyd Street,80.9
Milwaukee College Preparatory School: Lola Rowe North Campus,76.5
Milwaukee Community Cyber High,67.3
Milwaukee Environmental Science Academy,76.2
Milwaukee Excellence Charter School,89.5
NOVA Tech-Northwest Opportunities Vocational Academy Technical High,NA
