school_name,MPCP_count,RPCP_count,WPCP_count,SNSP_count,ALL_STUDENTS_count,school_year,dpi_true_id
A Promise of Hope Academy,64,NA,NA,NA,64,2016-17,0000_1701
Abundant Life Christian School,NA,NA,16,NA,249,2019-20,0000_1300
Academy of Excellence,796,0,0,NA,816,2016-17,0000_1652
Academy of Excellence,803,2,1,NA,813,2017-18,0000_1652
Academy of Excellence,866,0,9,NA,886,2018-19,0000_1652
Academy of Excellence,860,0,12,NA,872,2019-20,0000_1652
All Saints Grade School,NA,NA,19,NA,40,2019-20,0000_1294
Aquinas Academy - Menomonee Falls,17,NA,15,NA,126,2019-20,0000_0857
Aquinas Catholic Schools,NA,NA,109,NA,929,2016-17,NA
Aquinas Catholic Schools,NA,NA,141,NA,962,2017-18,NA
Aquinas Catholic Schools,NA,NA,156,23,970,2018-19,NA
Aquinas Catholic Schools,NA,NA,159,26,951,2019-20,NA
Assumption Catholic Schools,NA,NA,57,NA,428,2016-17,0000_1198
Assumption Catholic Schools,NA,NA,62,NA,402,2017-18,0000_1198
Assumption Catholic Schools,NA,NA,112,NA,391,2018-19,0000_1198
Assumption Catholic Schools,NA,NA,120,5,390,2019-20,0000_1198
Assumption of the Blessed Virgin Mary School,NA,NA,15,NA,63,2018-19,0000_0090
Assumption of the Blessed Virgin Mary School,NA,NA,23,NA,62,2019-20,0000_0090
"Atlas Preparatory Academy, Inc.",693,NA,NA,NA,693,2016-17,0000_1263
"Atlas Preparatory Academy, Inc.",719,NA,NA,NA,719,2017-18,0000_1263
"Atlas Preparatory Academy, Inc.",707,NA,NA,NA,707,2018-19,0000_1263
"Atlas Preparatory Academy, Inc.",607,NA,NA,NA,607,2019-20,0000_1263
Atonement Lutheran School,304,NA,NA,NA,315,2016-17,0000_1301
Atonement Lutheran School,308,NA,NA,NA,323,2017-18,0000_1301
Atonement Lutheran School,366,NA,2,NA,371,2018-19,0000_1301
Atonement Lutheran School,396,NA,4,NA,404,2019-20,0000_1301
"Bader Hillel High, Inc.",25,NA,4,0,42,2019-20,0000_1791
Badger State Baptist School,47,8,2,NA,87,2017-18,0000_0105
Badger State Baptist School,45,7,4,NA,83,2018-19,0000_0105
Badger State Baptist School,44,11,6,NA,107,2019-20,0000_0105
Bay City Christian School,NA,NA,11,NA,75,2016-17,0000_0120
Bay City Christian School,NA,NA,44,NA,115,2017-18,0000_0120
Bay City Christian School,NA,NA,108,NA,175,2018-19,0000_0120
Bay City Christian School,NA,NA,138,NA,206,2019-20,0000_0120
Beautiful Savior Lutheran School,1,NA,3,NA,47,2016-17,0000_1115
Beautiful Savior Lutheran School,3,NA,7,NA,57,2017-18,0000_1115
Beautiful Savior Lutheran School,1,NA,9,9,68,2018-19,0000_1115
Beautiful Savior Lutheran School,0,NA,22,13,77,2019-20,0000_1115
Believers in Christ Christian Academy,245,NA,NA,NA,254,2016-17,0000_1303
